group,n,accuracy,precision,recall,f1,auc
Airline_code=22,16235,0.49183862026485986,0.2271436086270384,0.7048645119164219,0.3435709739019733,0.6042400757292524
Airline_code=7,11505,0.6084311169056932,0.1850940017905103,0.48905972797161446,0.26855008930021107,0.5817905231269682
Airline_code=1,11000,0.42618181818181816,0.22752659574468084,0.7728093947606143,0.3515512636120814,0.5918128351933797
Airline_code=18,9259,0.5731720488173669,0.20497945371041817,0.5612177365982793,0.3002832861189802,0.5828560783133292
Airline_code=21,7881,0.44854713868798374,0.22070737008496344,0.7353522053982884,0.3395136778115502,0.5869881635509058
