group,n,accuracy,precision,recall,f1,auc
Origin=ATL,4341,0.594563464639484,0.21120689655172414,0.5697674418604651,0.3081761006289308,0.6185832447367249
Origin=ORD,4007,0.37060144746693285,0.22817715019255455,0.8586956521739131,0.3605476673427992,0.5810122816855177
Origin=DFW,3611,0.369703683190252,0.24785149535922998,0.8912237330037083,0.38784292630446476,0.6092831449194421
Origin=DEN,3579,0.35596535345068453,0.2393689986282579,0.889171974522293,0.3771953526074034,0.5820228971089094
Origin=CLT,3024,0.48578042328042326,0.23286908077994428,0.7013422818791947,0.3496445002091175,0.5936294130004534
